Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
70B0,0,0,1,0,0,146
0400,0,0,1,0,0,40
A168,0,0,1,0,0,128
190E,0,0,1,0,0,115
241B,0,0,1,0,0,8
76AF,0,0,1,0,0,93
641C,0,0,1,0,0,176
7E33,0,0,1,0,0,207
1844,0,0,1,0,0,252
75D8,0,0,1,0,0,229
AE87,0,0,1,0,0,37
0474,0,1,0,0,0,100
05D5,0,0,1,0,0,39
6DE7,0,0,1,0,0,95
57C3,0,0,1,0,0,256
997A,0,0,1,0,0,235
E5B3,0,0,1,0,0,11
E4C5,0,0,1,0,0,179
BB0B,0,0,1,0,0,66
D96E,0,0,1,0,0,143
CCD2,0,0,1,0,0,109
CF1B,0,0,1,0,0,96
4CF4,0,0,1,0,0,130
B80A,0,0,1,0,0,249
99AD,0,1,0,0,0,231
608D,0,0,1,0,0,184
530C,0,0,1,0,0,174
365B,0,0,1,0,0,170
1272,0,0,1,0,0,156
9465,0,0,1,0,0,152
EAB8,0,0,1,0,0,57
8669,0,0,1,0,0,122
FA02,0,0,1,0,0,221
5328,0,1,0,0,0,1
5C7E,0,0,1,0,0,237
D175,0,0,1,0,0,230
27DF,0,0,1,0,0,57
257F,0,0,1,0,0,149
024F,0,0,1,0,0,32
EE7A,0,0,1,0,0,89
2417,0,1,0,0,0,90
4F39,0,0,1,0,0,154
5F36,0,0,1,0,0,141
A4A3,0,0,1,0,0,243
180C,0,1,0,0,0,174
7FA7,0,0,1,0,0,247
F85B,0,0,1,0,0,152
263E,0,0,1,0,0,206
8D81,0,0,1,0,0,237
F92E,0,0,1,0,0,214
8566,0,0,1,0,0,145
EE7B,0,1,0,0,0,221
60AC,0,1,0,0,0,66
923B,1,0,1,0,1,3735149
31EA,0,0,1,0,0,31
2BD9,0,0,1,0,0,143
604C,0,1,0,0,0,140
4B68,0,0,1,0,0,99
01E5,0,0,1,0,0,13
4953,0,0,1,0,0,129
54DF,0,0,1,0,0,87
5F66,1,1,0,0,1,-5288263
53C6,0,1,0,0,0,93
701A,0,1,0,0,0,214
8C0F,0,0,1,0,0,35
B476,0,0,1,0,0,65
8DFA,1,1,0,0,1,9467924
7E9F,0,1,0,0,0,141
DBE1,0,0,1,0,0,238
93ED,0,0,1,0,0,234
7D79,0,0,1,0,0,118
3112,0,1,0,0,0,32
551C,0,0,1,0,0,237
7D88,0,1,0,0,0,157
E0C4,0,0,1,0,0,171
85C5,0,1,0,0,0,164
3F2D,0,0,1,0,0,9
FBDA,0,0,1,0,0,104
4B74,0,1,0,0,0,81
DA52,0,0,1,0,0,36
3FAE,0,1,0,0,0,224
819C,0,0,1,0,0,89
B449,0,1,0,0,0,29
06B9,0,0,1,0,0,199
756C,0,1,0,0,0,10
5A1F,0,0,1,0,0,225
60A9,0,1,0,0,0,87
9336,0,1,0,0,0,88
F97D,0,1,0,0,0,26
7534,0,1,0,0,0,130
CD99,0,0,1,0,0,252
5CD9,0,1,0,0,0,142
CA0D,0,0,1,0,0,214
411A,0,0,1,0,0,219
